Câmara dos Deputados;;;;;;;;
"Relatório de Proposições
Resultado da Pesquisa";;;;;;;;
Proposições;Ementa;Explicação ;Autor;UF;Partido;Apresentaç;Situação;Link 
PL 3108/2020;Acrescenta o inciso XIII, ao artigo 473 do Decreto Lei nº 5.452, de 1º de maio de 1943, e dá outras providências.;;Marina Santos;PI;SOLIDARI;03/06/2020;Aguardando Despacho do Presidente da Câmara dos Deputados;/proposicoesWeb/fichadetramitacao?idProposicao=2254458
PL 3391/2019;Altera a Lei n. 8.080, de 19 de setembro de 1990, que dispõe sobre as condições para a promoção, proteção e recuperação da saúde, para dispor sobre a prioridade na assistência psicológica às mulheres que sofreram aborto espontâneo, nos casos permitidos em Lei ou na ocorrência de óbito perinatal;;Fábio Faria;RN;PSD;06/06/2019;Aguardando Parecer;/proposicoesWeb/fichadetramitacao?idProposicao=2207082
PL 2681/2020;Acrescenta os parágrafos 6º e 7º ao art. 392 e altera o art. 392-B, do Decreto-Lei nº 5.452, de 1ª de maio de 1943, Consolidação das Leis do Trabalho, para estabelecer que o marco inicial da licença-maternidade e do respectivo salário-maternidade seja a alta hospitalar da genitora e/ou do recém-nascido, o que ocorrer por último, bem como para assegurar àquele que conste como genitor na certidão de nascimento, se empregado, o gozo de licença por todo o período ou pelo tempo restante da licença-ma ...;;Guilherme Derrite;SP;PP;14/05/2020;Aguardando Autorização do Despacho;/proposicoesWeb/fichadetramitacao?idProposicao=2252783
PL 3553/2020;Institui diretrizes para serviços de proteção e atendimento especializado a gestantes dependentes químicas a serem criados no âmbito da Proteção Especial da Assistência Social, e dá outras providências .;;Marreca Filho;MA;PATRIOTA;30/06/2020;Aguardando Despacho do Presidente da Câmara dos Deputados;/proposicoesWeb/fichadetramitacao?idProposicao=2256414
PEC 181/2015;Altera o inciso XVIII do art. 7º da Constituição Federal para dispor sobre a licença-maternidade em caso de parto prematuro.;;Senado Federal - Aécio Neves;MG;PSDB;16/12/2015;Aguardando Criação de Comissão Temporária;/proposicoesWeb/fichadetramitacao?idProposicao=2075449
PL 291/2020;"""Dispõe sobre a instituição do Programa de Orientação Psicológica e Social - Boa Mãe, no âmbito federal e dá outras providências"".";;"Aline Gurgel;Daniela do Waguinho;Leandre;Manuel Marcos";"AP;RJ;PR;AC";"REPUBLIC;MDB;PV;REPUBLIC";12/02/2020;Aguardando Designação de Relator;/proposicoesWeb/fichadetramitacao?idProposicao=2237085
PL 3871/2019;Estabelece obrigatoriedade de transporte de pacientes gestantes em trabalho de parto pelo primeiro hospital ou pronto atendimento em que a paciente comparecer, seja da rede do SUS ou privada;;Lauriete;ES;PL;03/07/2019;Tramitando em Conjunto;/proposicoesWeb/fichadetramitacao?idProposicao=2210792
PL 2446/2019;Concede, à pessoa com deficiência auditiva gestante, o direito a um intérprete da Língua Brasileira de Sinais - LIBRAS, para acompanhar a consulta de pré-natal e o trabalho de parto.;;Boca Aberta;PR;PROS;23/04/2019;Tramitando em Conjunto;/proposicoesWeb/fichadetramitacao?idProposicao=2198919
